year,trt,block,block.stat,month,doy,Anthophila,Hymenoptera,Diptera,Collembola,Orthoptera,Hemiptera,Thysanoptera,Coleoptera,Lepidoptera,Araneae,Psocodea,Neuroptera
2014,WPP,C,D,7,198,0,2,36,NA,2,3,0,12,2,4,0,0
2014,WPP,D,C,7,197,0,6,28,NA,0,3,0,25,0,3,0,0
2014,CSR,A,B,7,196,0,0,18,NA,0,3,0,23,3,1,0,0
2014,CSR,B,A,7,195,0,4,21,NA,0,1,0,4,0,0,0,0
2014,CSR,C,C,7,197,0,11,23,NA,0,0,0,19,0,0,0,0
2014,CSR,D,D,7,198,0,12,24,NA,0,2,0,18,0,0,0,0
2014,WPP,A,A,8,227,0,3,11,NA,0,10,0,16,2,0,0,1
2014,WPP,B,B,8,225,0,4,25,NA,1,8,0,14,3,0,0,1
2014,WPP,C,D,8,226,0,6,8,NA,1,9,0,4,4,0,0,0
2014,WPP,D,C,8,224,0,7,32,NA,0,16,2,22,1,1,1,0
2014,CSR,A,B,8,225,0,27,29,NA,0,16,1,15,1,2,0,0
2014,CSR,B,A,8,227,0,17,34,NA,0,9,0,13,0,0,0,1
2014,CSR,C,C,8,224,0,10,26,NA,0,4,0,4,2,0,1,0
2014,CSR,D,D,8,226,0,18,75,NA,0,21,0,4,1,0,0,0
2014,WPP,A,A,9,264,0,25,86,NA,0,0,0,12,2,1,0,7
2014,WPP,B,B,9,267,0,19,43,NA,4,3,0,28,2,0,0,2
2014,WPP,C,D,9,266,0,28,68,NA,0,6,4,48,1,1,1,8
2014,WPP,D,C,9,265,0,17,57,NA,0,1,1,27,0,9,0,8
2014,CSR,A,B,9,267,0,26,28,NA,0,12,1,20,0,1,0,0
2014,CSR,B,A,9,264,0,8,35,NA,0,3,0,9,2,0,1,0
2014,CSR,C,C,9,265,0,10,21,NA,0,4,0,22,0,0,0,0
2014,CSR,D,D,9,266,0,47,26,NA,0,3,1,18,1,0,0,0
2015,WPP,A,A,4,112,0,4,12,1,0,1,0,1,0,1,0,0
2015,WPP,B,B,4,112,0,0,17,3,0,2,1,0,2,0,0,1
2015,WPP,C,D,4,112,0,1,7,0,0,0,0,0,0,0,0,0
2015,WPP,D,C,4,112,0,0,3,1,0,0,0,0,0,0,0,0
2015,CSR,A,B,4,112,0,2,50,0,0,1,0,4,0,2,0,0
2015,CSR,B,A,4,112,0,6,8,2,0,1,0,3,0,0,0,0
2015,CSR,C,C,4,112,0,0,11,0,0,0,0,0,0,0,0,0
2015,CSR,D,D,4,112,0,1,38,0,0,0,0,0,1,0,0,0
2015,WPP,A,A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,WPP,B,B,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,WPP,C,D,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,WPP,D,C,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CSR,A,B,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CSR,B,A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CSR,C,C,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CSR,D,D,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,WPP,A,A,6,152,0,13,40,0,0,8,2,63,0,0,1,0
2015,WPP,B,B,6,152,0,10,27,1,1,3,0,72,1,3,0,0
2015,WPP,C,D,6,152,0,34,94,1,1,16,0,64,7,1,1,1
2015,WPP,D,C,6,152,0,4,37,1,0,5,2,5,1,1,0,0
2015,CSR,A,B,6,152,0,7,80,4,0,6,1,31,1,0,0,1
2015,CSR,B,A,6,152,0,15,100,3,0,5,0,16,0,0,1,0
2015,CSR,C,C,6,152,0,18,95,7,0,4,1,12,1,1,0,0
2015,CSR,D,D,6,152,0,12,250,8,0,10,0,25,2,3,1,1
2015,WPP,A,A,7,196,0,4,52,12,4,10,0,10,2,2,1,0
2015,WPP,B,B,7,196,0,9,43,78,1,10,0,17,12,0,0,0
2015,WPP,C,D,7,196,0,6,35,183,5,8,0,31,4,3,0,0
2015,WPP,D,C,7,196,0,4,52,10,4,10,0,10,2,2,1,0
2015,CSR,A,B,7,196,0,1,37,60,0,4,1,17,2,1,2,0
2015,CSR,B,A,7,196,0,5,58,8,0,9,1,18,4,0,0,2
2015,CSR,C,C,7,196,0,5,53,112,1,9,2,18,8,2,0,0
2015,CSR,D,D,7,196,0,8,37,5,1,14,0,12,0,1,0,0
2015,WPP,A,A,8,236,0,11,11,35,0,4,1,7,2,2,1,0
2015,WPP,B,B,8,236,0,7,14,100,1,7,1,15,3,4,0,1
2015,WPP,C,D,8,236,0,6,10,43,1,3,0,3,2,4,0,1
2015,WPP,D,C,8,236,0,5,17,70,2,3,1,13,3,1,0,0
2015,CSR,A,B,8,236,0,15,10,11,2,10,0,35,1,4,0,0
2015,CSR,B,A,8,236,0,10,26,6,2,24,1,15,0,2,0,0
2015,CSR,C,C,8,236,0,13,22,18,0,8,0,38,0,0,2,0
2015,CSR,D,D,8,236,0,4,9,4,0,1,0,14,0,2,0,0
2015,WPP,A,A,9,265,0,11,21,17,1,4,0,15,1,0,1,0
2015,WPP,B,B,9,265,0,11,10,40,4,2,1,69,0,4,0,0
2015,WPP,C,D,9,265,0,6,18,51,2,6,0,27,4,0,0,3
2015,WPP,D,C,9,265,0,2,8,34,0,7,1,24,1,1,1,0
2015,CSR,A,B,9,265,0,6,32,17,3,1,0,38,0,1,0,0
2015,CSR,B,A,9,265,0,5,7,3,1,5,0,6,0,0,1,0
2015,CSR,C,C,9,265,0,2,10,1,0,2,0,8,0,0,1,0
2015,CSR,D,D,9,265,0,4,14,6,0,2,0,18,0,0,0,0
2016,WPP,A,A,4,104,0,1,75,3,0,1,0,9,2,1,1,0
2016,WPP,B,B,4,104,0,1,28,0,0,3,0,13,1,0,0,0
2016,WPP,C,D,4,104,0,4,158,16,0,6,0,59,6,2,0,0
2016,WPP,D,C,4,104,0,2,100,4,0,4,1,0,2,2,1,0
2016,CSR,A,B,4,104,0,2,25,1,0,2,0,8,0,0,0,0
2016,CSR,B,A,4,104,0,3,53,2,0,1,0,8,2,2,0,0
2016,CSR,C,C,4,104,0,11,97,1,0,4,0,28,1,1,3,0
2016,CSR,D,D,4,104,0,5,203,3,0,2,1,32,3,3,2,0
2016,WPP,A,A,5,139,0,1,14,0,0,2,1,0,0,1,0,0
2016,WPP,B,B,5,139,0,4,32,0,1,6,4,16,0,1,3,0
2016,WPP,C,D,5,139,0,1,12,0,0,2,1,22,2,1,1,0
2016,WPP,D,C,5,139,0,8,19,2,0,2,5,14,1,2,0,0
2016,CSR,A,B,5,139,0,12,121,1,0,8,4,15,0,2,2,0
2016,CSR,B,A,5,139,0,5,75,8,0,1,0,2,2,2,0,0
2016,CSR,C,C,5,139,0,6,49,4,0,3,0,7,0,5,2,0
2016,CSR,D,D,5,139,0,2,40,0,0,3,0,6,0,1,0,0
2016,WPP,A,A,6,168,0,8,39,6,1,5,0,31,4,0,0,0
2016,WPP,B,B,6,168,1,8,77,1,2,4,0,17,3,2,2,0
2016,WPP,C,D,6,168,1,17,299,12,1,4,1,48,2,1,0,0
2016,WPP,D,C,6,168,0,7,336,11,2,10,0,28,3,2,0,0
2016,CSR,A,B,6,168,0,11,41,0,0,0,0,24,0,0,0,0
2016,CSR,B,A,6,168,0,0,37,12,3,2,0,6,0,3,0,0
2016,CSR,C,C,6,168,2,5,57,16,3,1,0,7,0,3,0,0
2016,CSR,D,D,6,168,1,0,24,14,3,6,1,6,0,1,0,0
2016,WPP,A,A,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,B,B,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,C,D,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,D,C,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,A,B,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,B,A,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,C,C,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,D,D,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,A,A,8,241,0,0,34,171,9,4,0,7,1,0,0,0
2016,WPP,B,B,8,241,0,24,23,6,7,32,2,20,7,1,0,0
2016,WPP,C,D,8,241,0,15,40,66,10,32,1,9,2,0,0,0
2016,WPP,D,C,8,241,0,16,55,402,4,16,1,3,3,2,0,0
2016,CSR,A,B,8,241,0,66,26,66,2,3,2,4,0,0,0,0
2016,CSR,B,A,8,241,0,10,24,110,1,1,3,8,0,1,0,0
2016,CSR,C,C,8,241,0,9,10,151,0,3,2,4,0,0,1,0
2016,CSR,D,D,8,241,0,14,16,72,2,2,5,7,0,0,1,0
2016,WPP,A,A,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,B,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,C,D,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,WPP,D,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,A,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,B,A,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,C,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,CSR,D,D,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
